timestamp, spread, target_value, m1_ask, m1_ask_size, m1_bid, m1_bid_size, m2_ask, m2_ask_size, m2_bid, m2_bid_size
datetime, float, int, float, float, float, float, float, float, float, float
T, , , , , , , , , ,
2018-04-01 11:15:00.000000, 2.66, 5, 6700.00, 26661.00, 6699.50, 772666.00, 6523.50, 500.00, 6522.00, 2180.00
2018-04-01 11:20:00.000000, 2.58, 5, 6682.00, 8537.00, 6681.50, 283385.00, 6510.00, 161.00, 6509.50, 23742.00
2018-04-01 11:25:00.000000, 2.66, 5, 6679.00, 565172.00, 6678.50, 82633.00, 6502.00, 38037.00, 6501.50, 15847.00
2018-04-01 11:30:00.000000, 2.71, 5, 6651.50, 57300.00, 6651.00, 141694.00, 6473.00, 10047.00, 6471.00, 100.00
2018-04-01 11:35:00.000000, 2.81, 5, 6673.50, 6000.00, 6669.50, 29679.00, 6487.50, 500.00, 6486.00, 52765.00
2018-04-01 11:40:00.000000, 2.66, 5, 6682.00, 466804.00, 6681.50, 234447.00, 6505.00, 8998.00, 6504.50, 21744.00
2018-04-01 11:45:00.000000, 2.59, 5, 6706.50, 370232.00, 6706.00, 110106.00, 6534.50, 542.00, 6532.50, 9100.00
2018-04-01 11:50:00.000000, 2.56, 5, 6691.00, 403009.00, 6690.50, 116603.00, 6522.00, 522.00, 6520.00, 2865.00
2018-04-01 11:55:00.000000, 2.54, 5, 6710.00, 257877.00, 6709.50, 293990.00, 6540.00, 106282.00, 6539.50, 5257.00
2018-04-01 12:00:00.000000, 2.53, 5, 6695.00, 512910.00, 6694.50, 285335.00, 6526.00, 10237.00, 6525.50, 6252.00
2018-04-01 12:05:00.000000, 2.48, 5, 6690.00, 166846.00, 6689.50, 407167.00, 6524.50, 13000.00, 6524.00, 43469.00
2018-04-01 12:10:00.000000, 2.56, 5, 6716.50, 340090.00, 6716.00, 345548.00, 6545.00, 5200.00, 6544.50, 38886.00
2018-04-01 12:15:00.000000, 2.54, 5, 6730.00, 86397.00, 6729.50, 818365.00, 6565.50, 18734.00, 6559.00, 1550.00
2018-04-01 12:20:00.000000, 2.46, 5, 6718.00, 289618.00, 6717.50, 474334.00, 6553.50, 4239.00, 6552.50, 10831.00
2018-04-01 12:25:00.000000, 2.43, 5, 6721.00, 608816.00, 6720.50, 32329.00, 6558.50, 1739.00, 6558.00, 3995.00
2018-04-01 12:30:00.000000, 2.41, 5, 6700.50, 291651.00, 6700.00, 210788.00, 6542.00, 5207.00, 6539.00, 4000.00
2018-04-01 12:35:00.000000, 2.34, 5, 6686.50, 180617.00, 6686.00, 266259.00, 6530.50, 53369.00, 6530.00, 31219.00
2018-04-01 12:40:00.000000, 2.43, 5, 6696.00, 572099.00, 6695.50, 131400.00, 6533.50, 500.00, 6533.00, 4347.00
2018-04-01 12:45:00.000000, 2.39, 5, 6693.00, 50050.00, 6692.50, 533923.00, 6535.00, 12100.00, 6533.00, 15007.00
2018-04-01 12:50:00.000000, 2.52, 5, 6699.00, 57300.00, 6698.50, 460961.00, 6531.00, 3265.00, 6530.50, 7267.00
2018-04-01 12:55:00.000000, 2.62, 5, 6711.00, 396470.00, 6710.50, 100644.00, 6537.00, 40489.00, 6535.00, 16407.00
2018-04-01 13:00:00.000000, 2.59, 5, 6688.50, 465498.00, 6688.00, 322851.00, 6516.00, 44048.00, 6515.50, 14516.00
2018-04-01 13:05:00.000000, 2.70, 5, 6688.00, 382350.00, 6687.50, 100958.00, 6508.00, 45342.00, 6507.50, 87848.00
2018-04-01 13:10:00.000000, 2.59, 5, 6691.00, 251645.00, 6690.50, 217309.00, 6518.00, 2100.00, 6517.50, 9124.00
2018-04-01 13:15:00.000000, 2.64, 5, 6666.00, 623966.00, 6665.50, 54137.00, 6494.50, 2500.00, 6490.00, 678.00
2018-04-01 13:20:00.000000, 2.62, 5, 6666.50, 688174.00, 6666.00, 286185.00, 6492.50, 38231.00, 6492.00, 3000.00
2018-04-01 13:25:00.000000, 3.07, 5, 6580.00, 95440.00, 6579.50, 9757.00, 6378.50, 10000.00, 6378.00, 8557.00
2018-04-01 13:30:00.000000, 2.75, 5, 6512.00, 30000.00, 6511.50, 28830.00, 6338.50, 7500.00, 6333.00, 45612.00
2018-04-01 13:35:00.000000, 2.93, 5, 6555.00, 144220.00, 6554.50, 511507.00, 6365.00, 100.00, 6363.00, 31.00
2018-04-01 13:40:00.000000, 2.90, 5, 6559.00, 642347.00, 6558.50, 234820.00, 6369.50, 26571.00, 6369.00, 52272.00
2018-04-01 13:45:00.000000, 2.84, 5, 6557.00, 27294.00, 6556.50, 158392.00, 6372.00, 70173.00, 6371.00, 6187.00
2018-04-01 13:50:00.000000, 3.00, 5, 6588.00, 346249.00, 6587.50, 121857.00, 6393.00, 1650.00, 6390.50, 10161.00
2018-04-01 13:55:00.000000, 3.03, 5, 6573.00, 77551.00, 6572.00, 1000.00, 6376.50, 3903.00, 6374.00, 3728.00
2018-04-01 14:00:00.000000, 2.95, 5, 6550.50, 309545.00, 6550.00, 77347.00, 6358.00, 39594.00, 6357.50, 4700.00
2018-04-01 14:05:00.000000, 2.70, 5, 6492.00, 1450.00, 6491.50, 30000.00, 6318.00, 8710.00, 6317.00, 7000.00
2018-04-01 14:10:00.000000, 2.75, 5, 6500.00, 482910.00, 6499.50, 19062.00, 6322.00, 18183.00, 6321.50, 1412.00
2018-04-01 14:15:00.000000, 2.75, 5, 6513.50, 3980.00, 6512.50, 12561.00, 6335.50, 524.00, 6334.50, 2000.00
2018-04-01 14:20:00.000000, 2.70, 5, 6486.00, 2000.00, 6484.00, 112560.00, 6311.50, 9183.00, 6311.00, 22496.00
2018-04-01 14:25:00.000000, 2.83, 5, 6495.00, 245058.00, 6494.50, 17064.00, 6311.50, 8000.00, 6311.00, 20510.00
2018-04-01 14:30:00.000000, 2.96, 5, 6479.00, 78636.00, 6478.00, 140882.00, 6291.00, 255.00, 6287.50, 11008.00
2018-04-01 14:35:00.000000, 2.83, 5, 6456.00, 17901.00, 6455.50, 4988.00, 6273.50, 40000.00, 6273.00, 12402.00
2018-04-01 14:40:00.000000, 2.66, 5, 6480.00, 46667.00, 6478.00, 510.00, 6308.00, 3467.00, 6307.50, 10862.00
2018-04-01 14:45:00.000000, 2.66, 5, 6519.00, 3445.00, 6518.50, 1251.00, 6350.00, 4908.00, 6345.50, 4625.00
2018-04-01 14:50:00.000000, 2.72, 5, 6485.50, 296858.00, 6485.00, 393571.00, 6310.00, 14880.00, 6309.00, 8000.00
2018-04-01 14:55:00.000000, 2.75, 5, 6503.50, 152187.00, 6503.00, 207492.00, 6325.00, 10500.00, 6324.50, 53480.00
2018-04-01 15:00:00.000000, 2.73, 5, 6508.50, 425562.00, 6508.00, 17583.00, 6331.50, 19296.00, 6331.00, 748.00
2018-04-01 15:05:00.000000, 2.67, 5, 6500.00, 21566.00, 6499.50, 58864.00, 6327.00, 500.00, 6326.50, 8000.00
2018-04-01 15:10:00.000000, 2.81, 5, 6522.50, 375573.00, 6522.00, 37744.00, 6339.50, 31307.00, 6339.00, 2469.00
2018-04-01 15:15:00.000000, 2.84, 5, 6507.00, 358909.00, 6506.50, 9534.00, 6322.50, 10000.00, 6322.00, 10000.00
2018-04-01 15:20:00.000000, 2.86, 5, 6510.50, 349644.00, 6510.00, 587979.00, 6325.00, 1000.00, 6324.50, 30676.00
2018-04-01 15:25:00.000000, 2.88, 5, 6495.00, 68450.00, 6493.50, 106794.00, 6308.50, 20693.00, 6308.00, 40094.00
2018-04-01 15:30:00.000000, 2.88, 5, 6484.50, 273170.00, 6484.00, 60261.00, 6301.50, 466.00, 6298.00, 7061.00
2018-04-01 15:35:00.000000, 2.80, 5, 6494.00, 504276.00, 6493.50, 39809.00, 6312.50, 10000.00, 6312.00, 3587.00
2018-04-01 15:40:00.000000, 2.70, 5, 6491.50, 40.00, 6491.00, 103679.00, 6316.50, 5000.00, 6316.00, 8000.00
2018-04-01 15:45:00.000000, 2.96, 5, 6455.50, 144776.00, 6455.00, 93937.00, 6282.50, 2125.00, 6264.50, 19499.00
2018-04-01 15:50:00.000000, 2.79, 5, 6488.00, 32162.00, 6487.50, 138798.00, 6308.00, 700.00, 6307.00, 1430.00
2018-04-01 15:55:00.000000, 2.79, 5, 6498.00, 67604.00, 6497.50, 217832.00, 6317.50, 6992.00, 6317.00, 5797.00
2018-04-01 16:00:00.000000, 2.60, 5, 6427.00, 13358.00, 6422.50, 236.00, 6262.00, 200.00, 6260.00, 11100.00
2018-04-01 16:05:00.000000, 2.62, 5, 6483.50, 15168.00, 6483.00, 23575.00, 6316.00, 534.00, 6313.50, 4660.00
2018-04-01 16:10:00.000000, 5.58, 5, 6690.00, 976.00, 6685.50, 76572.00, 6507.50, 1070.00, 6316.50, 3881.00
